datetime,Production,PowerPriceNode,PowerPriceHub,FloatingObligation,MerchantRevenue
2021-06-01,280.179,22.397402597402596,22.466736842105266,37059.4725,6744.07744
2021-06-02,627.497,44.19885416666667,44.198229166666664,63147.2375,16509.36564
2021-06-03,630.558,20.964383561643835,21.619791666666668,34762.435,11946.35622
2021-06-04,668.936,26.63941176470588,26.3478125,42704.165,17056.00926
2021-06-05,922.475,28.142105263157895,28.060729166666665,46538.915,26586.03771
2021-06-06,2064.821,20.207604166666666,21.117708333333333,32259.695,38498.93299
2021-06-07,1156.523,25.078064516129036,24.604479166666668,39339.604999999996,23817.31933
2021-06-08,2501.4429999999998,20.925104166666667,21.859375,36159.9725,48862.65363
2021-06-09,2132.359,26.06177083333333,25.891041666666666,41939.1925,51825.22425
2021-06-10,2141.938,21.171666666666667,24.532187500000003,39681.275,39945.94404
2021-06-11,2784.281,16.4396875,24.133125000000003,39326.1075,44769.09485
2021-06-12,1263.793,26.145416666666666,25.490624999999998,40627.01,29653.39985
2021-06-13,31.856,19.82,19.82,450.90500000000003,631.38592
